Date,Close,High,Low,Open,Volume,pos,neu,neg,compound,Target_Up
2023-03-15,151.0927276611328,151.34949789320206,148.06079247647403,149.31504702106903,77167900,0.375,0.455,0.17,0.4215,1
2023-03-16,153.91722106933594,154.5196567133458,149.75942505583248,150.27298045799404,76161100,0.375,0.455,0.17,0.4215,0
2023-03-17,153.07777404785156,154.7962009363973,152.36670189187112,154.14438228182223,98944600,0.375,0.455,0.17,0.4215,1
2023-03-20,155.44798278808594,155.8627873790452,152.23828797454271,153.14689176758554,73641400,0.375,0.455,0.17,0.4215,1
2023-03-21,157.30470275878906,157.42320976774403,154.59867718770118,155.36901795458434,73938300,0.375,0.455,0.17,0.4215,0
2023-03-22,155.87269592285156,160.12924367096628,155.8529397304782,157.32446713632558,75701800,0.375,0.455,0.17,0.4215,1
2023-03-23,156.95904541015625,159.54656410725272,155.72454710395584,156.86029458739586,67622100,0.375,0.455,0.17,0.4215,1
2023-03-24,158.26268005371094,158.35156031348998,155.89244937558198,156.88991856429575,59196500,0.375,0.455,0.17,0.4215,0
2023-03-27,156.3170928955078,158.77621864094067,155.9121738846932,157.95651005912973,52390300,0.375,0.455,0.17,0.4215,0
2023-03-28,155.69491577148438,156.5245100617194,154.04562789125012,156.0109545619661,45992200,0.375,0.455,0.17,0.4215,1
2023-03-29,158.77622985839844,159.05275625859912,157.37384166607825,157.39358278783644,51305700,0.375,0.455,0.17,0.4215,1
2023-03-30,160.34649658203125,160.45513302219786,159.27001781009866,159.5267880006936,49501700,0.375,0.455,0.17,0.4215,1
2023-03-31,162.85501098632812,162.95377687892702,159.90210067407045,160.42552675181378,68749800,0.375,0.455,0.17,0.4215,1
2023-04-03,164.10922241210938,164.22772939647407,162.18340856840544,162.23279150174258,56976200,0.375,0.455,0.17,0.4215,0
2023-04-04,163.575927734375,164.77091335884026,163.06237234715022,164.53389938747162,46278300,0.375,0.455,0.17,0.4215,0
2023-04-05,161.7291259765625,163.0031364887197,159.7934413430479,162.6969833628771,51511700,0.375,0.455,0.17,0.4215,1
2023-04-06,162.6179962158203,162.91427882271006,159.99098020805553,160.41564039126865,45390100,0.375,0.455,0.17,0.4215,0
2023-04-10,160.02059936523438,160.02059936523438,158.09478511621296,159.41816361866267,47716900,0.375,0.455,0.17,0.4215,0
2023-04-11,158.80587768554688,160.34652928242556,158.51946561689908,160.33665872023656,47644200,0.375,0.455,0.17,0.4215,0
2023-04-12,158.1145477294922,160.05023261805474,157.7985089324277,159.22065338009935,50133100,0.375,0.455,0.17,0.4215,1
2023-04-13,163.50682067871094,163.74384976611952,159.4181631056541,159.62556544083142,68445600,0.375,0.455,0.17,0.4215,0
2023-04-14,163.16114807128906,164.25738296375815,161.78838681581487,162.54882677930067,49386500,0.375,0.455,0.17,0.4215,1
2023-04-17,163.18092346191406,163.3389428652635,161.99580807591275,163.04266025137323,41516200,0.375,0.455,0.17,0.4215,1
2023-04-18,164.40553283691406,165.33387789076258,163.5956947875371,164.04012619342146,49923000,0.375,0.455,0.17,0.4215,1
2023-04-19,165.55116271972656,166.07458878664085,163.48707013576512,163.74385542338587,47720200,0.375,0.455,0.17,0.4215,0
2023-04-20,164.58328247070312,165.78815383509277,163.50680373238094,164.03022972696172,52456400,0.375,0.455,0.17,0.4215,0
2023-04-21,162.97352600097656,164.38578477260316,162.45009994594136,163.00315275355902,58337300,0.375,0.455,0.17,0.4215,1
2023-04-24,163.27967834472656,163.54633418620037,161.85753394961128,162.95376899838274,41949600,0.375,0.455,0.17,0.4215,0
2023-04-25,161.739013671875,164.2475072794641,161.69950129216383,163.1414017604714,48714100,0.375,0.455,0.17,0.4215,0
2023-04-26,161.7291259765625,163.23027992570658,160.78103984940847,161.03781003602157,45498800,0.375,0.455,0.17,0.4215,1
2023-04-27,166.3214874267578,166.46962119212645,163.14141866066578,163.14141866066578,64902300,0.375,0.455,0.17,0.4215,1
2023-04-28,167.57569885253906,167.7436038513408,165.79803368662212,166.40046934782268,55275900,0.375,0.455,0.17,0.4215,0
2023-05-01,167.48684692382812,168.33618234272492,166.54863124552048,167.180693761707,52472900,0.375,0.455,0.17,0.4215,0
2023-05-02,166.4498748779297,168.2374411469596,165.46227619804043,167.98065584567004,48425700,0.375,0.455,0.17,0.4215,0
2023-05-03,165.37335205078125,168.80031976619634,165.0869551402168,167.39793182123242,65136000,0.375,0.455,0.17,0.4215,0
2023-05-04,163.7339630126953,164.96846124572582,162.27232132426357,162.84513031273676,81235400,0.375,0.455,0.17,0.4215,1
2023-05-05,171.41748046875,172.13842316096267,168.64231599957478,168.85958887715515,113453200,0.375,0.455,0.17,0.4215,0
2023-05-08,171.3483428955078,171.6940084046762,169.97558155808977,170.34098818753938,55962800,0.375,0.455,0.17,0.4215,0
2023-05-09,169.63980102539062,171.38783954566773,169.47191108630196,170.90392591816433,45326900,0.375,0.455,0.17,0.4215,1
2023-05-10,171.4075927734375,171.87176527271458,169.76817565129102,170.87429621552187,53724500,0.375,0.455,0.17,0.4215,1
2023-05-11,171.5952606201172,172.4248398461332,170.0348529885771,171.69402651016821,49514700,0.375,0.455,0.17,0.4215,0
2023-05-12,170.66561889648438,172.13916641173466,169.11293731632776,171.70401959715826,45533100,0.375,0.455,0.17,0.4215,0
2023-05-15,170.17112731933594,171.29854623618587,169.57774258819362,171.2490949935239,37266700,0.375,0.455,0.17,0.4215,0
2023-05-16,170.17112731933594,171.229311478379,169.90410268128184,170.0920083491569,42110300,0.375,0.455,0.17,0.4215,1
2023-05-17,170.78431701660156,171.0216588875202,168.5393629149387,169.8151358327416,57951600,0.375,0.455,0.17,0.4215,1
2023-05-18,173.11825561523438,173.30616130301183,170.6755118549318,171.09087517456516,65496700,0.375,0.455,0.17,0.4215,1
2023-05-19,173.22705078125,174.44347306887536,173.00947735219142,174.44347306887536,55809500,0.375,0.455,0.17,0.4215,0
2023-05-22,172.27760314941406,172.7819846737764,171.53587981631637,172.06002976447343,43570900,0.375,0.455,0.17,0.4215,0
2023-05-23,169.6667938232422,171.466716951182,169.38988489439063,171.21947575824993,50747300,0.375,0.455,0.17,0.4215,1
2023-05-24,169.9436798095703,170.51728111058472,168.63825433413288,169.2019563309073,45143500,0.375,0.455,0.17,0.4215,1
2023-05-25,171.08099365234375,171.98093998050487,169.79533663873903,170.50739236656926,56058300,0.375,0.455,0.17,0.4215,1
2023-05-26,173.4940643310547,173.83032378662378,171.1996741500605,171.40736336995897,54835000,0.375,0.455,0.17,0.4215,1
2023-05-30,175.34341430664062,177.01476677794446,174.6214744245607,175.00716998790764,55964400,0.375,0.455,0.17,0.4215,0
2023-05-31,175.29397583007812,177.37080753192686,174.80937774220615,175.37309480914308,99625300,0.375,0.455,0.17,0.4215,1
2023-06-01,178.1026611328125,178.13232886856773,174.97752884975577,175.73903594508394,68901800,0.375,0.455,0.17,0.4215,1
2023-06-02,178.95314025878906,179.77398268262323,177.2817876805341,179.03225923715402,61996900,0.375,0.455,0.17,0.4215,0
2023-06-05,177.59825134277344,182.908986017055,176.0752375225132,180.61459616435278,121946500,0.375,0.455,0.17,0.4215,0
2023-06-06,177.23233032226562,178.13227652640924,175.4719596724279,177.98393789122082,64848400,0.375,0.455,0.17,0.4215,0
2023-06-07,175.85768127441406,179.21027045240393,175.36319900574063,176.47083445864072,61944600,0.375,0.455,0.17,0.4215,1
2023-06-08,178.5773162841797,178.8443258180563,175.50163627026933,175.93676794820152,50214900,0.375,0.455,0.17,0.4215,1
2023-06-09,178.9630584716797,180.21903277362324,178.636698310342,179.4970927690662,48900000,0.375,0.455,0.17,0.4215,1
2023-06-12,181.76177978515625,181.8606822718443,178.9729077272824,179.26960009694577,54274900,0.375,0.455,0.17,0.4215,0
2023-06-13,181.287109375,182.11783606754224,180.42671494989577,180.7827428310429,54929100,0.375,0.455,0.17,0.4215,1
2023-06-14,181.92001342773438,182.35516021423518,180.01131922105634,181.34641221738335,57462900,0.375,0.455,0.17,0.4215,1
2023-06-15,183.95730590820312,184.46168752877136,181.75191900244837,181.9299404833556,65433200,0.375,0.455,0.17,0.4215,0
2023-06-16,182.8793182373047,184.9264820484004,182.2364973319158,184.669341613924,101256200,0.375,0.455,0.17,0.4215,1
2023-06-20,182.96832275390625,184.0463055632048,182.37495308855412,182.37495308855412,49799100,0.375,0.455,0.17,0.4215,0
2023-06-21,181.929931640625,183.36392727035516,180.57503989811684,182.85954567430247,49515700,0.375,0.455,0.17,0.4215,1
2023-06-22,184.93638610839844,184.98583735805877,181.6431320743364,181.7123668419414,51245300,0.375,0.455,0.17,0.4215,0
2023-06-23,184.619873046875,185.49016657654983,182.96830425516916,183.50235349943313,53117000,0.375,0.455,0.17,0.4215,0
2023-06-26,183.22544860839844,185.97476858314397,183.18588157961648,184.7682307420945,48088700,0.375,0.455,0.17,0.4215,1
2023-06-27,185.98471069335938,186.31107087560846,183.62108551622634,183.83865897105906,50730800,0.375,0.455,0.17,0.4215,1
2023-06-28,187.16156005859375,187.80438104509085,185.52977442185306,185.8561194768788,51216800,0.375,0.455,0.17,0.4215,1
2023-06-29,187.497802734375,187.97251662731944,186.85498175364998,186.99343619982474,46347300,0.375,0.455,0.17,0.4215,1
2023-06-30,191.8294677734375,192.3338342950544,189.14936702429083,189.51529419368583,85213200,0.375,0.455,0.17,0.4215,0
2023-07-03,190.33612060546875,191.7404484310712,189.6438333602496,191.64154594163958,31458200,0.375,0.455,0.17,0.4215,0
2023-07-05,189.21861267089844,190.85039834497115,188.51644111338388,189.45596962493224,46920300,0.375,0.455,0.17,0.4215,1
2023-07-06,189.69329833984375,189.90098754652763,187.1121001189567,187.74503686210437,45094300,0.375,0.455,0.17,0.4215,0
2023-07-07,188.5757598876953,190.54380484505052,188.14062814608695,189.29771490007704,46815000,0.375,0.455,0.17,0.4215,0
2023-07-10,186.52859497070312,187.89337080979294,184.97591346212693,187.17141585961895,59922200,0.375,0.455,0.17,0.4215,0
2023-07-11,186.00445556640625,187.21099353236755,184.54079224834234,187.07253909809666,46638100,0.375,0.455,0.17,0.4215,1
2023-07-12,187.67581176757812,189.584506155405,186.39015480100775,187.58679348705417,60750200,0.375,0.455,0.17,0.4215,1
2023-07-13,188.43728637695312,189.08012234659634,187.68567880071848,188.3977344373199,41342300,0.375,0.455,0.17,0.4215,1
2023-07-14,188.58566284179688,189.07024584013215,187.53736277551775,188.13073248396137,41616200,0.375,0.455,0.17,0.4215,1
2023-07-17,191.8492431640625,192.17560328436687,189.69329254549467,189.7822957354681,50520200,0.375,0.455,0.17,0.4215,0
2023-07-18,191.59210205078125,192.18548682934457,190.2965608776665,191.21630577539946,48288200,0.375,0.455,0.17,0.4215,1
2023-07-19,192.947021484375,196.04247077365844,190.52404586593127,190.96909205897046,80507300,0.375,0.455,0.17,0.4215,0
2023-07-20,190.99871826171875,194.30185606220206,190.37566579926568,192.9370802265051,59581200,0.375,0.455,0.17,0.4215,0
2023-07-21,189.8218536376953,192.81841494586592,189.1196821840786,191.95802063670834,71951700,0.375,0.455,0.17,0.4215,1
2023-07-24,190.6229248046875,192.759091941705,190.1284425094743,191.27564505606543,45377800,0.375,0.455,0.17,0.4215,1
2023-07-25,191.4833221435547,192.29428036369316,190.79104993758423,191.19652904765346,37283200,0.375,0.455,0.17,0.4215,1
2023-07-26,192.35362243652344,193.4810415222525,191.18665140498055,191.53277997466063,47471900,0.375,0.455,0.17,0.4215,0
2023-07-27,191.08775329589844,195.02382842734414,190.4251487828704,193.85685736898512,47460200,0.375,0.455,0.17,0.4215,1
2023-07-28,193.66893005371094,194.46010471349214,191.9975775461535,192.52172755154825,48291400,0.375,0.455,0.17,0.4215,1
2023-07-31,194.28211975097656,194.32168679112073,193.10524929835876,193.89642410679465,38824100,0.375,0.455,0.17,0.4215,0
2023-08-01,193.45138549804688,194.55902113270218,193.12502533632087,194.07443808774235,35175100,0.375,0.455,0.17,0.4215,0
2023-08-02,190.45480346679688,193.026102358892,189.73286353794578,192.88764791924382,50389300,0.375,0.455,0.17,0.4215,0
2023-08-03,189.0603485107422,190.2471029357017,188.58564975883863,189.4559433793295,61235200,0.375,0.455,0.17,0.4215,0
2023-08-04,179.98167419433594,185.312192820491,179.91243942847825,183.47271804853088,115956800,0.375,0.455,0.17,0.4215,0
2023-08-07,176.87632751464844,181.10909486166798,175.39288059142936,180.1201302461886,97576100,0.375,0.455,0.17,0.4215,1
2023-08-08,177.8158416748047,178.2806562533865,175.6203390114105,177.7070549630004,67823000,0.375,0.455,0.17,0.4215,0
2023-08-09,176.22361755371094,178.93337110075507,175.05663139218126,178.87403563482027,60378500,0.375,0.455,0.17,0.4215,0
2023-08-10,176.0060272216797,178.7553475423464,175.64011515660735,177.49935830249015,54686900,0.375,0.455,0.17,0.4215,1
2023-08-11,176.0654296875,176.88738049769475,174.8374673630278,175.60000259117115,52036700,0.375,0.455,0.17,0.4215,1
2023-08-14,177.71925354003906,177.94701832041608,175.5900993670502,176.2437010263368,43675600,0.375,0.455,0.17,0.4215,0
2023-08-15,175.728759765625,177.73906787465035,175.3326457472995,177.14489684716207,43622600,0.375,0.455,0.17,0.4215,0
2023-08-16,174.85726928710938,176.80814628515878,174.78794103749047,175.41183484094861,46964900,0.375,0.455,0.17,0.4215,0
2023-08-17,172.31222534179688,175.78817341312092,171.7972650350441,175.42176719468313,66062900,0.375,0.455,0.17,0.4215,1
2023-08-18,172.79747009277344,173.40155375891743,170.29201204567954,170.62871045348956,61172200,0.375,0.455,0.17,0.4215,1
2023-08-21,174.1343536376953,174.4215491084137,172.05473264129324,173.37183349440417,46311900,0.375,0.455,0.17,0.4215,1
2023-08-22,175.5108642578125,175.95649623435884,174.54037449165708,175.34251507159627,42038900,0.375,0.455,0.17,0.4215,1
2023-08-23,179.36314392089844,179.78898080878903,176.60021337314086,176.78837280424742,52722800,0.375,0.455,0.17,0.4215,0
2023-08-24,174.6691131591797,179.34333021614268,174.3026918957578,178.91749337237624,54945800,0.375,0.455,0.17,0.4215,1
2023-08-25,176.87750244140625,177.41225784961358,174.1145717959043,175.6594375427037,51449600,0.375,0.455,0.17,0.4215,1
2023-08-28,178.44216918945312,178.83828316683332,176.8180777049469,178.34313313971825,43820700,0.375,0.455,0.17,0.4215,1
2023-08-29,182.3340301513672,183.10646293821267,177.75884901223952,177.9569059889832,53003900,0.375,0.455,0.17,0.4215,1
2023-08-30,185.82980346679688,186.027875570887,182.9480417259573,183.14609871926743,60813900,0.375,0.455,0.17,0.4215,1
2023-08-31,186.0476531982422,187.28552817850573,185.6614368088311,186.01794540757814,60794500,0.375,0.455,0.17,0.4215,1
2023-09-01,187.62228393554688,188.0778135688955,186.4537218332531,187.65199173290517,45766500,0.375,0.455,0.17,0.4215,1
2023-09-05,187.85992431640625,188.1372071331358,185.7902007519677,186.453699999912,45280000,0.375,0.455,0.17,0.4215,0
2023-09-06,181.1357879638672,187.01817274976997,179.70975345688714,186.57252563325392,81755800,0.375,0.455,0.17,0.4215,0
2023-09-07,175.83767700195312,176.4813811102254,171.8566665123906,173.48075801343515,112488800,0.375,0.455,0.17,0.4215,1
2023-09-08,176.45166015625,178.4916910043361,176.06544373133067,176.62002446653017,65551300,0.375,0.455,0.17,0.4215,1
2023-09-11,177.62022399902344,178.5511084974291,175.619813594627,178.3233437087065,58953100,0.375,0.455,0.17,0.4215,0
2023-09-12,174.58990478515625,178.38275585399316,173.12426491742679,177.7489644157226,90370200,0.375,0.455,0.17,0.4215,0
2023-09-13,172.5201873779297,175.58021106580875,172.29240747476095,174.7978655233742,84267900,0.375,0.455,0.17,0.4215,1
2023-09-14,174.03533935546875,174.39184798430878,171.89628758242847,172.31221179761187,60895800,0.375,0.455,0.17,0.4215,0
2023-09-15,173.31240844726562,174.78796097983732,172.13396406629226,174.76815074757482,109259500,0.375,0.455,0.17,0.4215,1
2023-09-18,176.2436981201172,177.64002479353724,174.46115503817452,174.76814563074643,67257600,0.375,0.455,0.17,0.4215,1
2023-09-19,177.33302307128906,177.88758863735939,175.41183870970377,175.79805509398693,51826900,0.375,0.455,0.17,0.4215,0
2023-09-20,173.78775024414062,177.95690472942889,173.69861176107497,177.5211703172096,58436200,0.375,0.455,0.17,0.4215,0
2023-09-21,172.24290466308594,174.5899263869401,172.1735915074449,172.8569010557525,63149100,0.375,0.455,0.17,0.4215,1
2023-09-22,173.09454345703125,175.36233909077248,172.36173107244514,172.97571228348323,56725400,0.375,0.455,0.17,0.4215,1
2023-09-25,174.3720245361328,175.25339092524624,172.46073769252675,172.51025571431984,46172700,0.375,0.455,0.17,0.4215,0
2023-09-26,170.2919921875,173.50055447022797,169.99489916963813,173.1242507509963,64588900,0.375,0.455,0.17,0.4215,0
2023-09-27,168.77684020996094,171.3615240971404,167.41023633579258,170.94559986493434,66921800,0.375,0.455,0.17,0.4215,1
2023-09-28,169.03433227539062,170.36133082824708,165.9941036111019,167.69742105029528,56294400,0.375,0.455,0.17,0.4215,1
2023-09-29,169.54928588867188,171.39124466953126,168.68771453081845,170.35142654777866,51861100,0.375,0.455,0.17,0.4215,1
2023-10-02,172.06463623046875,172.6093042881744,169.2719827950215,169.55917827580257,52164500,0.375,0.455,0.17,0.4215,0
2023-10-03,170.7277374267578,171.94581747397606,169.1630765091389,170.589096012129,49594600,0.375,0.455,0.17,0.4215,1
2023-10-04,171.9755096435547,172.5201776911012,169.31160010164683,169.43043127173715,53020300,0.375,0.455,0.17,0.4215,1
2023-10-05,173.21339416503906,173.74814957044222,171.00501406167223,172.1042477774046,48527900,0.375,0.455,0.17,0.4215,1
2023-10-06,175.76837158203125,176.26352163595584,171.5001654241457,172.1141617663429,57266700,0.375,0.455,0.17,0.4215,1
2023-10-09,177.2538299560547,177.31324554755352,174.0947700479303,175.0949677633166,42390800,0.375,0.455,0.17,0.4215,0
2023-10-10,176.65963745117188,177.97673842144718,176.2239029815132,176.37245706568626,43698000,0.375,0.455,0.17,0.4215,1
2023-10-11,178.0559844970703,178.10550253076042,175.8773270117473,176.4714980836814,47551100,0.375,0.455,0.17,0.4215,1
2023-10-12,178.95713806152344,180.57131695227565,177.30332359387822,178.3233466007442,56743100,0.375,0.455,0.17,0.4215,0
2023-10-13,177.11517333984375,180.1652842541005,176.41205364228972,179.6602366589199,51427100,0.375,0.455,0.17,0.4215,0
2023-10-16,176.9864044189453,177.34291299761338,174.79783492835955,175.03551235106417,52517000,0.375,0.455,0.17,0.4215,0
2023-10-17,175.43165588378906,176.6893412361662,173.1044597256959,174.93650583601004,57549400,0.375,0.455,0.17,0.4215,0
2023-10-18,174.1343536376953,175.8574811296678,173.41143884685883,173.87688106979198,54764400,0.375,0.455,0.17,0.4215,0
2023-10-19,173.75807189941406,176.11497599372035,173.49068662646167,174.33243269200634,59302900,0.375,0.455,0.17,0.4215,0
2023-10-20,171.20306396484375,173.718419244541,170.96538653172513,173.60948564320893,64244000,0.375,0.455,0.17,0.4215,1
2023-10-23,171.32191467285156,172.32211231863303,168.2816861592976,169.25219112217718,55980100,0.375,0.455,0.17,0.4215,1
2023-10-24,171.75765991210938,171.98542471489895,169.78695717971306,171.37144345921354,43816600,0.375,0.455,0.17,0.4215,0
2023-10-25,169.44036865234375,171.38134856384042,168.99472147795794,170.21280159213268,57157000,0.375,0.455,0.17,0.4215,0
2023-10-26,165.27117919921875,169.71763198356828,164.06301189675906,168.71741923518283,70625300,0.375,0.455,0.17,0.4215,1
2023-10-27,166.5883026123047,167.32113020792602,165.21178592419773,165.2910117543283,58499100,0.375,0.455,0.17,0.4215,1
2023-10-30,168.63818359375,169.5096524459554,167.23195938000526,167.38051344932887,51131000,0.375,0.455,0.17,0.4215,1
2023-10-31,169.11355590820312,169.24228464861295,166.27138428536674,167.70733154956028,44846000,0.375,0.455,0.17,0.4215,1
2023-11-01,172.28250122070312,172.53997379429074,168.46983997695696,169.34130885799144,56934900,0.375,0.455,0.17,0.4215,1
2023-11-02,175.8476104736328,176.05556504970008,173.75807648633753,173.8174920794996,77334800,0.375,0.455,0.17,0.4215,0
2023-11-03,174.93649291992188,175.10485722122255,171.66851493448934,172.5498813500308,79829200,0.375,0.455,0.17,0.4215,1
2023-11-06,177.49148559570312,177.68954259678722,174.50079012453784,174.66913933099835,63841300,0.375,0.455,0.17,0.4215,1
2023-11-07,180.05636596679688,180.67034717470034,177.23400472320088,177.44195927584823,70530000,0.375,0.455,0.17,0.4215,1
2023-11-08,181.115966796875,181.67053238037917,179.8285737718667,180.5812114444328,49340300,0.375,0.455,0.17,0.4215,0
2023-11-09,180.640625,182.33402952271553,180.04643896103886,181.18529301725127,53763500,0.375,0.455,0.17,0.4215,1
2023-11-10,184.83511352539062,185.00369964258533,181.989212824357,182.42552132152326,66133400,0.375,0.455,0.17,0.4215,0
2023-11-13,183.24855041503906,184.4682199516521,182.6635072771428,184.25999143916752,43627500,0.375,0.455,0.17,0.4215,1
2023-11-14,185.8664093017578,186.53078271340215,184.7359804157126,186.1242211071054,60108400,0.375,0.455,0.17,0.4215,1
2023-11-15,186.43161010742188,187.90910668353808,186.20354524355434,186.2729648412074,53790500,0.375,0.455,0.17,0.4215,1
2023-11-16,188.11732482910156,189.356830641734,187.06621119021287,187.9785007833142,54412900,0.375,0.455,0.17,0.4215,0
2023-11-17,188.09750366210938,188.78171334674664,186.98691120628507,188.65279989002153,50922700,0.375,0.455,0.17,0.4215,1
2023-11-20,189.8427276611328,190.29887250675844,188.2859160609316,188.2958266614519,46505100,0.375,0.455,0.17,0.4215,0
2023-11-21,189.03952026367188,189.91213724546566,188.14708208188244,189.80306012274144,38134500,0.375,0.455,0.17,0.4215,1
